Store_name,Category,Latitude,Longitude,City
Reliance Fresh,supermarket,13.0661591,77.5971544,Bengaluru
Banagalore Fresh & Fresh,supermarket,12.9037265,77.5917721,Bengaluru
,supermarket,12.9791205,77.646913,Bengaluru
Loyal World Market,supermarket,12.9595912,77.7474103,Bengaluru
Freshworld Super Market,supermarket,13.0086948,77.6555825,Bengaluru
Top in Town,supermarket,12.9690444,77.7388659,Bengaluru
Metro Cash and Carry,supermarket,12.9263972,77.502667,Bengaluru
Kamath Stores,supermarket,12.9644942,77.6135414,Bengaluru
Fathima Store,supermarket,12.9922062,77.6044577,Bengaluru
Ample Mart,supermarket,12.925098,77.5882684,Bengaluru
,supermarket,12.9628718,77.6364846,Bengaluru
More,supermarket,13.008896,77.6557901,Bengaluru
Foodmax,supermarket,13.0667343,77.6398517,Bengaluru
Real Mart,supermarket,12.9568097,77.6604327,Bengaluru
Thriveni Home needs,supermarket,12.9548871,77.6587436,Bengaluru
A to Z Supermarket,supermarket,12.9554205,77.6570788,Bengaluru
KBS Family Mart,supermarket,12.9376675,77.5492313,Bengaluru
Dhanalakshmi Departmental Stores,supermarket,12.938804,77.5529925,Bengaluru
J.K. Traders,supermarket,12.9388491,77.5527685,Bengaluru
Safa Supermarket,supermarket,12.8853147,77.6560561,Bengaluru
Spar,supermarket,12.9077496,77.6008578,Bengaluru
Families Supermarket,supermarket,13.0492695,77.6038518,Bengaluru
"Green Father, Vegitable Shop",supermarket,12.9694372,77.6937276,Bengaluru
Max Shoppee,supermarket,12.9687983,77.693571,Bengaluru
Safal Daily Fresh,supermarket,12.9672957,77.6565745,Bengaluru
,supermarket,12.9397956,77.5631777,Bengaluru
Patanjali Store,supermarket,12.9099594,77.5499367,Bengaluru
Happy Pockets Supermarket,supermarket,12.9099841,77.5500912,Bengaluru
Saraswati Supermarket,supermarket,12.9092402,77.5527258,Bengaluru
,supermarket,12.9887846,77.555898,Bengaluru
Nuts Corner,supermarket,12.9377969,77.6993666,Bengaluru
Ayush Fresh Patanjali,supermarket,12.8759246,77.6131681,Bengaluru
,supermarket,12.9056908,77.6510831,Bengaluru
Simpli Namdhari's,supermarket,12.9187238,77.6701231,Bengaluru
Metro Cash and Carry,supermarket,12.9651869,77.5617183,Bengaluru
Stationary Store,supermarket,13.1254176,77.6201477,Bengaluru
Spar,supermarket,13.0938786,77.594727,Bengaluru
Nice Mart,supermarket,13.1214753,77.5764289,Bengaluru
Nilgiri's,supermarket,13.0181628,77.6432669,Bengaluru
Maha Bazaar,supermarket,12.9173946,77.6493143,Bengaluru
Rice Corner,supermarket,12.9761861,77.5517728,Bengaluru
Arogya Organic,supermarket,12.9001386,77.5859319,Bengaluru
Reliance Smart,supermarket,12.8909043,77.5978268,Bengaluru
Organic World,supermarket,12.9118073,77.6514532,Bengaluru
Families Supermarket,supermarket,12.9844254,77.7085422,Bengaluru
Ideal Supermarket,supermarket,13.0205711,77.6837448,Bengaluru
M K Retail,supermarket,12.9781234,77.6371128,Bengaluru
Mulberry Greens,supermarket,13.0037844,77.6228196,Bengaluru
Royal Mart,supermarket,13.0174363,77.7041678,Bengaluru
Eastern Super Market,supermarket,12.9973525,77.5475825,Bengaluru
